record_id,start,activity_desc_english,activity_desc
KNUST_S005,2024-11-10T10:00:00Z,church,church
KNUST_S005,2024-11-10T11:00:00Z,church,church
KNUST_S005,2024-11-10T14:00:00Z,watching movie,watching movie
KNUST_S005,2024-11-10T15:00:00Z,watching movie,watching movie
KNUST_S005,2024-11-10T16:00:00Z,watching movie,watching movie
KNUST_S005,2024-11-10T17:00:00Z,watching movie,watching movie
KNUST_S007,2024-11-18T15:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-18T16:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-18T18:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-18T19:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-18T21:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-19T08:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-19T09:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-19T10:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-19T11:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-19T12:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-19T13:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-19T14:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-19T15:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-19T16:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-19T17:00:00Z,sports indoors,sports indoors
KNUST_S007,2024-11-19T18:00:00Z,sports indoors,sports indoors
KNUST_S008,2024-12-01T08:00:00Z,"Church, reading from projector","Church, reading from projector"
KNUST_S008,2024-12-01T09:00:00Z,"Church, reading from projector","Church, reading from projector"
KNUST_S008,2024-12-01T10:00:00Z,"Church, reading from projector","Church, reading from projector"
KNUST_S008,2024-12-01T11:00:00Z,"Church, reading from projector","Church, reading from projector"
KNUST_S011,2024-12-21T17:00:00Z,Watching movies,Watching movies
KNUST_S011,2024-12-21T18:00:00Z,Watching movies,Watching movies
KNUST_S011,2024-12-21T19:00:00Z,Watching movies,Watching movies
KNUST_S011,2024-12-21T20:00:00Z,Watching movies,Watching movies
KNUST_S011,2024-12-21T21:00:00Z,Watching movies,Watching movies
KNUST_S011,2024-12-22T14:00:00Z,Watching movies,Watching movies
KNUST_S011,2024-12-22T15:00:00Z,Watching movies,Watching movies
KNUST_S011,2024-12-22T16:00:00Z,Watching movies,Watching movies
KNUST_S011,2024-12-22T17:00:00Z,Watching movies,Watching movies
KNUST_S011,2024-12-22T18:00:00Z,Watching movies,Watching movies
KNUST_S011,2024-12-22T19:00:00Z,Watching movies,Watching movies
