record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,form_1_timestamp,form_1_complete,current_light_mood_and_alertness_timestamp,ema_light,currentight,check_mixedlight,additional_light,currentmood,anxious,elated,sad,angry,irritable,energetic,kss_instr,kss,uuid_4,startdate_4,enddate_4,scheduledate_4,status_4,supplementaldata_4,serializedresult_4,current_light_mood_and_alertness_complete
13,,,,,2,,,,,,,,,,,,,,,,,,,,,,
13,current_light_mood_and_alertness,1,,,,,1,S,0,,1,0,3,0,0,0,0,1,2,7228CE00-D278-11EF-A9E9-999D64BF188E,"2025-01-14 13:07:02","2025-01-14 13:08:17",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-14 13:08:18"",    ""utcTime"": ""2025-01-14 13:07:02.496479Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""93""  }",result.zip,0
13,current_light_mood_and_alertness,2,,,,,1,I,1,L,1,0,3,0,0,0,3,1,2,F2FA8A80-D27F-11EF-8820-5172D349E036,"2025-01-14 14:00:45","2025-01-14 14:01:50",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-14 14:01:50"",    ""utcTime"": ""2025-01-14 14:00:45.096255Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,3,,,,,1,L,0,,1,2,1,0,0,0,2,1,2,4E7E1610-D299-11EF-9B9E-DF3E59801E59,"2025-01-14 17:02:16","2025-01-14 17:03:14",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-14 17:03:14"",    ""utcTime"": ""2025-01-14 17:02:16.049765Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""93""  }",result.zip,0
13,current_light_mood_and_alertness,4,,,,,1,L,1,E,1,0,3,3,0,0,3,1,2,07CB6B20-D2B5-11EF-8B8B-87395E1AE128,"2025-01-14 20:20:43","2025-01-14 20:21:52",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-14 20:41:29.794474"",    ""utcTime"": ""2025-01-14 20:20:43.346045Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,5,,,,,1,I,0,,1,0,3,0,0,0,3,1,2,06B0DD80-D330-11EF-A889-B1E03CD7C0F7,"2025-01-15 11:01:09","2025-01-15 11:01:54",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-15 11:01:54"",    ""utcTime"": ""2025-01-15 11:01:09.591966Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""93""  }",result.zip,0
13,current_light_mood_and_alertness,6,,,,,1,O,1,E,1,0,2,0,0,0,3,1,2,2F25B3F0-D34C-11EF-98D8-6BE5D1D322D8,"2025-01-15 14:22:43","2025-01-15 14:23:24",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-15 14:23:24"",    ""utcTime"": ""2025-01-15 14:22:43.375104Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,7,,,,,1,L,1,E,1,0,3,0,0,0,3,1,2,48278520-D362-11EF-98D8-6BE5D1D322D8,"2025-01-15 17:00:54","2025-01-15 17:01:38",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-15 17:01:38"",    ""utcTime"": ""2025-01-15 17:00:54.258687Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,8,,,,,1,L,1,E,1,0,3,0,0,0,3,1,2,B0F6F790-D37E-11EF-A40E-21BF8CD674AC,"2025-01-15 20:24:16","2025-01-15 20:25:04",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-15 20:25:04"",    ""utcTime"": ""2025-01-15 20:24:16.009610Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,9,,,,,1,L,1,E,1,0,3,0,0,0,3,1,2,86685050-D3FB-11EF-9A33-875D57BCA4D1,"2025-01-16 11:17:51","2025-01-16 11:18:38",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-16 11:18:38"",    ""utcTime"": ""2025-01-16 11:17:51.701327Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,10,,,,,1,L,1,E,1,0,3,0,0,0,3,1,2,B4402FE0-D412-11EF-A8BB-D9C578F54E0D,"2025-01-16 14:03:47","2025-01-16 14:04:50",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-16 14:04:51"",    ""utcTime"": ""2025-01-16 14:03:47.036441Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,11,,,,,1,L,1,E,1,0,3,0,0,0,3,1,2,1AB87DD0-D42D-11EF-A8BB-D9C578F54E0D,"2025-01-16 17:12:45","2025-01-16 17:13:14",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-16 17:13:15"",    ""utcTime"": ""2025-01-16 17:12:45.869810Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,12,,,,,1,S,0,,1,0,3,0,0,0,3,1,2,65FD0F50-D445-11EF-A2DE-8F5914493883,"2025-01-16 20:06:40","2025-01-16 20:07:32",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-16 20:07:33"",    ""utcTime"": ""2025-01-16 20:06:40.069368Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""93""  }",result.zip,0
13,current_light_mood_and_alertness,13,,,,,1,I,1,L,1,0,3,0,0,0,3,1,2,498C4C50-D4C2-11EF-B792-D5F0620AB0A2,"2025-01-17 11:00:39","2025-01-17 11:01:30",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-17 11:01:30"",    ""utcTime"": ""2025-01-17 11:00:39.445494Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,14,,,,,1,O,1,E,1,0,3,0,0,0,3,1,2,2D90E960-D4DC-11EF-B792-D5F0620AB0A2,"2025-01-17 14:05:59","2025-01-17 14:06:49",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-17 14:06:50"",    ""utcTime"": ""2025-01-17 14:05:59.414358Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,15,,,,,1,L,1,E,1,0,2,0,0,0,3,1,2,AECBB830-D4F4-11EF-AD00-8D81CBE963F5,"2025-01-17 17:01:24","2025-01-17 17:01:59",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-17 17:02:00"",    ""utcTime"": ""2025-01-17 17:01:24.147560Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,16,,,,,1,L,1,E,1,0,3,0,0,0,3,1,2,AA290480-D58B-11EF-914C-1BD4DD7A5E92,"2025-01-18 11:02:10","2025-01-18 11:03:00",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-18 11:03:01"",    ""utcTime"": ""2025-01-18 11:02:10.376357Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,17,,,,,1,L,1,E,1,0,3,0,0,0,3,1,2,946972F0-D5AA-11EF-B6E7-D36903159DC4,"2025-01-18 14:43:28","2025-01-18 14:43:57",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-18 14:43:58"",    ""utcTime"": ""2025-01-18 14:43:28.287054Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,18,,,,,1,L,1,E,1,0,3,0,0,0,3,1,2,B4D00B50-D5A8-11EF-A5F2-758EFD2A4E9F,"2025-01-18 14:30:03","2025-01-18 14:30:39",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-18 17:03:09.105124"",    ""utcTime"": ""2025-01-18 14:30:03.651678Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,19,,,,,1,O,1,E,1,0,3,0,0,0,3,1,2,1D3CC880-D5BE-11EF-B6E7-D36903159DC4,"2025-01-18 17:03:18","2025-01-18 17:03:55",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-18 17:03:55"",    ""utcTime"": ""2025-01-18 17:03:18.280449Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,20,,,,,1,L,1,E,1,0,3,0,0,0,3,1,2,1A963DF0-D5DC-11EF-B0BF-118C1A52F167,"2025-01-18 20:37:58","2025-01-18 20:38:21",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-18 20:38:21"",    ""utcTime"": ""2025-01-18 20:37:58.734729Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,21,,,,,1,L,1,E,1,0,3,0,0,0,3,1,2,C5AC1200-D654-11EF-808A-2F4DBD2E2A5D,"2025-01-19 11:01:45","2025-01-19 11:02:20",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-19 11:02:21"",    ""utcTime"": ""2025-01-19 11:01:45.376252Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,22,,,,,1,O,1,E,1,0,0,0,0,0,1,1,2,C0799EB0-D66D-11EF-9CB8-C5002A168460,"2025-01-19 14:00:34","2025-01-19 14:01:17",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-19 14:01:17"",    ""utcTime"": ""2025-01-19 14:00:34.074978Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,23,,,,,1,O,1,E,1,0,3,0,0,0,3,1,2,F6B4A3D0-D686-11EF-9CB8-C5002A168460,"2025-01-19 17:01:02","2025-01-19 17:01:34",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-19 17:01:35"",    ""utcTime"": ""2025-01-19 17:01:02.477359Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
13,current_light_mood_and_alertness,24,,,,,1,S,1,E,1,0,2,0,0,0,3,1,2,209B6120-D6A0-11EF-A4E9-C3255D41FF46,"2025-01-19 20:01:10","2025-01-19 20:01:45",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-19 20:01:46"",    ""utcTime"": ""2025-01-19 20:01:10.194096Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""0"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0
